Diecast Manufacturer,Car Company,Car Model,Region,Image URL
Aldi Play,Aldi,Aldi Truck,Europe,
Almost Real,BMW,M3 GTR,Europe,
Auto World,Chevy,Camaro,USA,
Auto World,Ford,Mustang Mach 1,USA,
Maisto,Ferrari,SF24 Formula 1,Europe,
Maisto,Red Bull,Formula 1,Europe,
HW Mainline,Aston Martin,Vantage GT3,Europe,
HW Mainline,Batman,Arkham Knight Batmobile,Fantasy,
HW Mainline,Bentley,Continental GT3,Europe,
HW Mainline,BMW,635 Something,Europe,
HW Mainline,Buggati,EB110,Europe,
HW Mainline,Cadillac,Custom 53,USA,
HW Mainline,Cadillac,GTP Hypercar,USA,
HW Mainline,Chevy,18 Copo Camaro SS,USA,
HW Mainline,Chevy,El Camino,USA,
HW Mainline,DMC,Delorean,USA,
HW Mainline,Dodge,Charger Hellcat,USA,
HW Mainline,Dodge,Viper GTS (96) Yellow,USA,
HW Mainline,Dodge,Viper Old,USA,
HW Mainline,Fantasy,Carbonator,Fantasy,
HW Mainline,Fantasy,Feline Lucky,Fantasy,
HW Mainline,Fantasy,Mario kart,Fantasy,
HW Mainline,Fantasy,Monopoly Pass n Go,Fantasy,
HW Mainline,Fantasy,Raijin Express (Cat),Fantasy,
HW Mainline,Ferrari,365 Red,Europe,
HW Mainline,Ferrari,F40 Red,Europe,
HW Mainline,Fiat,Beast of Turin,Europe,
HW Mainline,Ford,150 Lightning,USA,
HW Mainline,Ford,Bronco (New),USA,
HW Mainline,Ford,F150 Lightning Supertruck,USA,
HW Mainline,Ford,Mustang GTD,USA,
HW Mainline,Ford,RS200,USA,
HW Mainline,Ford,Sierra Cosworth,USA,
HW Mainline,GMA,T.33,Europe,
HW Mainline,GMA,T.50s,Europe,
HW Mainline,Honda,Civic Type r (18 Police),Japan,
HW Mainline,Honda,Motocompo,Japan,
HW Mainline,Honda,Prelude,Japan,
HW Mainline,Kia,EV6,Korea,
HW Mainline,Koenigsegg,Jesko,Europe,
HW Mainline,Legends Tour,La Libre,Fantasy,
HW Mainline,Mazda,MX5 Miata LEGENDS,Japan,
HW Mainline,Mclaren,W1,Europe,
HW Mainline,McMurtry,Spierling,Europe,
HW Mainline,Mercedes,Formula 1,Europe,
HW Mainline,Nissan,Fairlady Z - Police,Japan,
HW Mainline,Nissan,R33 Open,Japan,
HW Mainline,Nissan,Skyline 2000gtr Lb - TOONED,Japan,
HW Mainline,Pagani,Huayra Roadster (Zamac),Europe,
HW Mainline,Pagani,Zonda Cinque - TOONED,Europe,
HW Mainline,Plymouth,Superbird,USA,
